specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
NA02-11Fb,NA02-11Fb,NA02-11F,1.566e-08,1.2535652437194566e-07,5.7042021265709745e-09,1.0164768639635293e-08,-1.0458257818676591e-08,-1.1706248834388438e-09,-3.493812305548212e-09,-1.2530235877895547e-07,3.0127095510502185e-10,2.633689769313286e-09,3e-05,ZI,843.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.106e-08,1.4179121822905145e-07,3.1963480940994277e-09,6.300346271868071e-09,-8.509559078818659e-09,-8.051432399659536e-10,3.659738757292303e-09,-1.417416933138235e-07,2.1277501682385323e-10,2.9050826133812967e-09,3e-05,IZ,853.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,2.086e-09,1.57649776380111e-07,5.861715031371806e-10,2.9225433062923247e-10,-1.9805015463610116e-09,-1.0006952742656576e-08,5.6403282350816735e-09,-1.5723072087510693e-07,4.0130984185764726e-11,3.0706865417099608e-09,3e-05,ZI,873.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.864e-07,4.795033953701402e-09,6.444324814623209e-08,1.4339273017865383e-07,-1.0015264699584798e-07,1.6228520290513177e-09,-4.145697502198531e-10,-4.49297605503924e-09,3.5860093251325717e-09,1.912281796771339e-09,3e-05,P,373.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.25e-07,1.4900059215789419e-08,4.4597349887201534e-08,9.434642309975417e-08,-6.881009251062444e-08,-1.036828440151506e-10,3.9602029308412543e-10,-1.4894434612611305e-08,2.4047809315534947e-09,1.1094056030900124e-09,3e-05,P,573.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,9.419e-08,3.604789508739013e-08,3.393303280023927e-08,6.865827451020672e-08,-5.483016255911509e-08,-2.3382281728918524e-09,9.45506721673488e-10,-3.595955292105633e-08,1.8120505275441895e-09,9.490868743197793e-10,3e-05,P,673.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,8.579e-08,7.177084624766405e-08,3.193220547730621e-08,6.082188873817217e-08,-5.139023451665211e-08,-1.184569886061494e-09,-3.5793465194918636e-09,-7.167174787727917e-08,1.6504492489437948e-09,7.079675062493487e-10,3e-05,P,733.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,5.143e-08,9.46051388206395e-08,1.6771458782796704e-08,3.5966509426748354e-08,-3.2713502868885396e-08,-2.4384410260648933e-09,-3.0839424667139316e-09,-9.452341294883968e-08,9.894230664783699e-10,4.954917510525334e-10,3e-05,P,783.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,3.097e-08,9.519144389588818e-08,1.088025972639509e-08,2.13537120416476e-08,-1.9615805625275228e-08,-4.778682418722906e-09,-2.286194866490787e-09,-9.504392930828064e-08,5.958085236016939e-10,4.52312573437084e-10,3e-05,P,818.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.566e-08,1.2092249823843857e-07,5.7042021265709745e-09,1.0164768639635293e-08,-1.0458257818676591e-08,-1.4279537994070072e-09,9.51052925355854e-10,-1.2091032638490853e-07,3.0127095510502185e-10,5.254179137563102e-10,3e-05,P,843.0,1,,,
